Date,CASEY,CML,IDC,JASON,KEN,LAN MLN,PATTERSON,PHIL,TRAVIS,KYLE
2006-03-05,0.0,1.7231935600000001,27.525752649999998,0.0,4.734573800000001,21.35532223,8.566257700000001,9.005546,0.0,0.0
2006-03-06,0.0,0.81203248,12.971192499999999,0.0,34.94976296,25.379518779999998,63.23455684,8.10699176,0.0,0.0
2006-03-07,0.0,1.8278999599999999,29.19835045,0.0,45.710157960000004,41.69956026999999,82.70332434000001,14.35696136,0.0,0.0
2006-03-08,0.0,2.0611311299999997,32.9239081,0.0,43.29982948,43.16167771,78.34232042000001,15.21558293,0.0,0.0
2006-03-09,0.0,1.08204328,17.28427375,0.0,46.57098956,33.818521329999996,84.26082574,10.80266636,0.0,0.0
2006-03-10,0.0,1.3700548,21.88489375,0.0,58.966964600000004,42.82012405,106.6888459,13.6780526,0.0,0.0
2006-03-11,0.0,1.62406496,25.942384999999998,0.0,69.89952592,50.759037559999996,126.46911368,16.21398352,0.0,0.0
2006-03-12,0.0,1.50006,23.9615625,0.0,64.56237,46.8833475,116.812605,14.97597,0.0,0.0
2006-03-13,0.0,1.6100644,25.718743749999998,0.0,69.29694380000001,50.32145965,125.37886270000001,16.0742078,0.0,0.0
2006-03-14,0.0,1.48805952,23.769869999999997,0.0,64.04587104000001,46.50828072,115.87810416,14.85616224,0.0,0.0
2006-03-15,0.0,1.5360614400000001,24.53664,0.0,66.11186688000001,48.00854784,119.61610752000001,15.33539328,0.0,0.0
2006-03-16,0.0,1.53206128,24.4727425,0.0,65.93970056,47.88352558,119.30460724000001,15.29545736,0.0,0.0
2006-03-17,0.0,1.65406616,26.42161625,0.0,71.19077332,51.696704509999996,128.80536578000002,16.51350292,0.0,0.0
2006-03-18,0.0,1.54606184,24.69638375,0.0,66.54228268,48.32110349,120.39485822,15.43523308,0.0,0.0
2006-03-19,0.0,1.43405736,22.90725375,0.0,61.721625720000006,44.82048021,111.67285038,14.31702732,0.0,0.0
2006-03-20,0.0,1.5600624,24.920025,0.0,67.14486480000001,48.7586814,121.48510920000001,15.575008799999999,0.0,0.0
2006-03-21,0.0,1.56806272,25.047819999999998,0.0,67.48919744,49.008725919999996,122.10810976,15.65488064,0.0,0.0
2006-03-22,0.0,1.50006,23.9615625,0.0,64.56237,46.8833475,116.812605,14.97597,0.0,0.0
2006-03-23,0.0,1.5200608,24.281049999999997,0.0,65.4232016,47.5084588,118.37010640000001,15.1756496,0.0,0.0
2006-03-24,0.0,1.69206768,27.028642499999997,0.0,72.82635336,52.88441598,131.76461844000002,16.89289416,0.0,0.0
2006-03-25,0.0,1.61406456,25.782641249999998,0.0,69.46911012000001,50.446481909999996,125.69036298,16.11414372,0.0,0.0
2006-03-26,0.0,1.48405936,23.705972499999998,0.0,63.873704720000006,46.38325846,115.56660388,14.81622632,0.0,0.0
2006-03-27,0.0,1.42805712,22.811407499999998,0.0,61.46337624,44.63294682,111.20559996,14.257123439999999,0.0,0.0
2006-03-28,0.0,1.47805912,23.610126249999997,0.0,63.61545524,46.19572507,115.09935346,14.75632244,0.0,0.0
2006-03-29,0.0,1.48405936,23.705972499999998,0.0,63.873704720000006,46.38325846,115.56660388,14.81622632,0.0,0.0
2006-03-30,0.0,1.51606064,24.217152499999997,0.0,65.25103528000001,47.38343654,118.05860612000001,15.13571368,0.0,0.0
2006-03-31,0.0,1.550062,24.76028125,0.0,66.714449,48.44612575,120.70635850000001,15.475169,0.0,0.0
2006-04-01,0.0,1.45605824,23.258689999999998,0.0,62.668540480000004,45.50810264,113.38610192,14.53667488,0.0,0.0
2006-04-02,0.0,1.33405336,21.309816249999997,0.0,57.417467720000005,41.69492371,103.88534338000001,13.31862932,0.0,0.0
2006-04-03,0.0,1.50006,23.9615625,0.0,64.56237,46.8833475,116.812605,14.97597,0.0,0.0
2006-04-04,0.0,1.6300652,26.03823125,0.0,70.1577754,50.94657095,126.9363641,16.2738874,0.0,0.0
2006-04-05,0.0,1.7300692,27.635668749999997,0.0,74.4619334,54.072127449999996,134.7238711,17.2722854,0.0,0.0
2006-04-06,0.0,1.81207248,28.9455675,0.0,77.99134296000001,56.635083779999995,141.10962684,18.09097176,0.0,0.0
2006-04-07,0.0,2.56310612,40.9423361,0.0,74.54801656000001,63.3647165,134.87962124,21.36571516,0.0,0.0
2006-04-08,0.0,2.0649367,32.984739399999995,0.0,77.30267768,59.12119642,139.86362572000002,19.24911278,0.0,0.0
2006-04-09,0.0,2.23823902,35.753009199999994,0.0,72.13768808,58.62820318,130.51861732,19.48872758,0.0,0.0
2006-04-10,0.0,2.36527376,37.78222555,0.0,75.15059868,61.44952944999999,135.96987222,20.46715748,0.0,0.0
2006-04-11,0.0,2.1307780100000002,34.03646565,0.0,75.75318080000001,59.12713307999999,137.06012320000002,19.38888825,0.0,0.0
2006-04-12,0.0,1.89406153,30.255233049999998,0.0,76.78617872000001,56.98155592,138.92912488000002,18.35055497,0.0,0.0
2006-04-13,0.0,1.77807112,28.402438749999998,0.0,76.52792924,55.57239457,138.46187446000002,17.75151644,0.0,0.0
2006-04-14,0.0,1.72258373,27.516096299999997,0.0,72.91243652,53.26364547,131.92036858,17.05263777,0.0,0.0
2006-04-15,0.0,1.8780608900000002,29.999643049999996,0.0,76.09751344,56.48146688,137.68312376,18.190811290000003,0.0,0.0
2006-04-16,0.0,1.90806209,30.478874299999998,0.0,77.38876084,57.41913383,140.01937586,18.49033069,0.0,0.0
