Date,CASEY,CML,IDC,JASON,KEN,LAN MLN,PATTERSON,PHIL,TRAVIS,KYLE
2006-04-18,0.0,1.4618971500000002,23.35195375,0.0,58.536548800000006,43.6387054,105.9100952,14.077411549999999,0.0,0.0
2006-04-19,0.0,1.36605464,21.82099625,0.0,58.79479828,42.695101789999995,106.37734562,13.63811668,0.0,0.0
2006-04-20,0.0,1.3600544,21.72515,0.0,58.536548800000006,42.5075684,105.9100952,13.5782128,0.0,0.0
2006-04-21,0.0,1.43116045,22.860976,0.0,58.966964600000004,43.498806249999994,106.6888459,13.977571849999999,0.0,0.0
2006-04-22,0.0,1.4207923,22.695359,0.0,59.3973804,43.585134499999995,107.46759660000001,13.977571900000001,0.0,0.0
2006-04-23,0.0,1.4127919800000002,22.567563999999997,0.0,59.053047760000005,43.33508998,106.84459604000001,13.89770006,0.0,0.0
2006-04-24,0.0,1.3600544,21.72515,0.0,58.536548800000006,42.5075684,105.9100952,13.5782128,0.0,0.0
2006-04-25,0.0,1.5630044,24.967011,0.0,60.25821200000001,45.5676102,109.025098,14.77629,0.0,0.0
2006-04-26,0.0,1.5450036800000002,24.679472249999996,0.0,59.483463560000004,45.00501003,107.62334674,14.596578359999999,0.0,0.0
2006-04-27,0.0,1.75868958,28.092823499999998,0.0,59.91387936,47.57983968,108.40209744,15.69481566,0.0,0.0
2006-04-28,0.0,1.5311502200000002,24.4581803,0.0,58.536548800000006,44.40787855999999,105.9100952,14.4168667,0.0,0.0
2006-04-29,0.0,1.5944766000000001,25.46973525,0.0,58.10613300000001,44.90974155,105.13134450000001,14.676449999999999,0.0,0.0
2006-04-30,0.0,1.5237383,24.3397825,0.0,56.814885600000004,43.519619799999994,102.7950924,14.1772511,0.0,0.0
2006-05-01,0.0,1.5744758,25.15024775,0.0,57.2453014,44.28463025,103.5738431,14.4767704,0.0,0.0
2006-05-02,0.0,1.06260242,16.973717049999998,0.0,34.8636798,28.12222741,63.0788067,9.325036700000002,0.0,0.0
2006-05-03,0.0,1.53263545,24.481906499999997,0.0,59.8277962,45.02882715,108.24634730000001,14.57661045,0.0,0.0
2006-05-04,0.0,1.64484635,26.27432725,0.0,59.3973804,46.0736359,107.46759660000001,15.075809150000001,0.0,0.0
2006-05-05,0.0,1.65114079,26.374872099999997,0.0,58.966964600000004,45.94206217,106.6888459,15.05584115,0.0,0.0
2006-05-06,0.0,1.6370666800000002,26.150056199999998,0.0,58.536548800000006,45.584261039999994,105.9100952,14.9360334,0.0,0.0
2006-05-07,0.0,1.63084579,26.050686,0.0,58.79479828,45.63605799,106.37734562,14.93603343,0.0,0.0
2006-05-08,0.0,1.62299257,25.9252403,0.0,58.10613300000001,45.226459909999996,105.13134450000001,14.81622565,0.0,0.0
2006-05-09,0.0,0.88110999,14.074603349999999,0.0,25.824948000000003,21.87527712,46.725042,7.36817655,0.0,0.0
2006-05-10,0.0,1.14261985,18.25190025,0.0,43.04158,32.8391568,77.87507000000001,10.68285825,0.0,0.0
2006-05-11,0.0,1.50336975,24.014421749999997,0.0,56.814885600000004,43.293392399999995,102.7950924,14.07741135,0.0,0.0
2006-05-12,0.0,1.5137379,24.18003875,0.0,56.384469800000005,43.207064149999994,102.01634170000001,14.0774113,0.0,0.0
2006-05-13,0.0,0.53333095,8.519278,0.0,15.064553000000002,12.975494349999998,27.2562745,4.39295075,0.0,0.0
2006-05-14,0.0,0.040737100000000005,0.6507215,0.0,0.0,0.4524548,0.0,0.1996795,0.0,0.0
2006-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-17,0.0,1.3400536,21.4056625,0.0,57.6757172,41.882457099999996,104.35259380000001,13.3785332,0.0,0.0
2006-05-18,0.0,1.5237383,24.3397825,0.0,56.814885600000004,43.519619799999994,102.7950924,14.1772511,0.0,0.0
2006-05-19,0.0,1.4022625,22.399364499999997,0.0,55.0932224,41.3644876,99.6800896,13.378532900000002,0.0,0.0
2006-05-20,0.0,1.3822617,22.079876999999996,0.0,54.232390800000005,40.7393763,98.12258820000001,13.1788533,0.0,0.0
2006-05-21,0.0,1.3922621,22.239620749999997,0.0,54.6628066,41.051931950000004,98.9013389,13.2786931,0.0,0.0
2006-05-22,0.0,1.40463033,22.4371865,0.0,54.318473960000006,41.02811483,98.27833834,13.29866101,0.0,0.0
2006-05-23,0.0,0.5214918000000001,8.330168,0.0,18.938295200000002,14.6573582,34.265030800000005,4.792310199999999,0.0,0.0
2006-05-24,0.0,1.36967282,21.8787873,0.0,55.0932224,41.002523759999995,99.6800896,13.218789300000001,0.0,0.0
2006-05-25,0.0,1.2800512,20.4472,0.0,55.0932224,40.007123199999995,99.6800896,12.7794944,0.0,0.0
2006-05-26,0.0,1.3418923500000002,21.43502875,0.0,53.3715592,39.888037600000004,96.5650868,12.87933395,0.0,0.0
2006-05-27,0.0,1.25005,19.967968749999997,0.0,53.801975000000006,39.06945625,97.3438375,12.479975,0.0,0.0
2006-05-28,0.0,1.24204968,19.840173749999998,0.0,53.45764236,38.81941173,96.72083694000001,12.40010316,0.0,0.0
2006-05-29,0.0,1.25205008,19.9999175,0.0,53.88805816000001,39.13196738,97.49958764,12.49994296,0.0,0.0
2006-05-30,0.0,1.1800472,18.849762499999997,0.0,50.7890644,36.8815667,91.89258260000001,11.7810964,0.0,0.0
2006-05-31,0.0,1.1700468,18.69001875,0.0,50.3586486,36.56901105,91.11383190000001,11.6812566,0.0,0.0
2006-06-01,0.0,1.1600464,18.530275,0.0,49.9282328,36.2564554,90.3350812,11.5814168,0.0,0.0
2006-06-02,0.0,1.2400496,19.808225,0.0,53.3715592,38.7569006,96.5650868,12.3801352,0.0,0.0
2006-06-03,0.0,1.2600504,20.127712499999998,0.0,54.232390800000005,39.3820119,98.12258820000001,12.5798148,0.0,0.0
2006-06-04,0.0,1.300052,20.7666875,0.0,55.954054000000006,40.632234499999996,101.23759100000001,12.979174,0.0,0.0
2006-06-05,0.0,1.200048,19.169249999999998,0.0,51.649896000000005,37.506678,93.450084,11.980776,0.0,0.0
2006-06-06,0.0,1.1800472,18.849762499999997,0.0,50.7890644,36.8815667,91.89258260000001,11.7810964,0.0,0.0
2006-06-07,0.0,1.100044,17.5718125,0.0,47.345738000000004,34.3811215,85.662577,10.982378,0.0,0.0
2006-06-08,0.0,1.0600424,16.932837499999998,0.0,45.6240748,33.1308989,82.5475742,10.5830188,0.0,0.0
2006-06-09,0.0,1.00004,15.974374999999998,0.0,43.04158,31.255565,77.87507000000001,9.98398,0.0,0.0
2006-06-10,0.0,1.0100404,16.13411875,0.0,43.4719958,31.568120649999997,78.65382070000001,10.0838198,0.0,0.0
2006-06-11,0.0,0.9800392,15.6548875,0.0,42.180748400000006,30.6304537,76.3175686,9.7843004,0.0,0.0
2006-06-12,0.0,0.900036,14.376937499999999,0.0,38.737422,28.1300085,70.087563,8.985581999999999,0.0,0.0
2006-06-13,0.0,0.9900396,15.81463125,0.0,42.611164200000005,30.94300935,77.0963193,9.8841402,0.0,0.0
2006-06-14,0.0,1.0100404,16.13411875,0.0,43.4719958,31.568120649999997,78.65382070000001,10.0838198,0.0,0.0
2006-06-15,0.0,1.10336798,17.62490495,0.0,44.332827400000006,33.00765059,80.2113221,10.642922500000001,0.0,0.0
2006-06-16,0.0,1.13988427,18.208205,0.0,44.677160040000004,33.57441347,80.83432266,10.862569989999999,0.0,0.0
2006-06-17,0.0,1.18040072,18.855402549999997,0.0,45.193659000000004,34.26619861,81.76882350000001,11.1221534,0.0,0.0
2006-06-18,0.0,1.20262225,19.210362749999998,0.0,45.6240748,34.7144907,82.5475742,11.28189705,0.0,0.0
2006-06-19,0.0,1.18188595,18.87912875,0.0,46.4849064,34.8871472,84.1050756,11.281897149999999,0.0,0.0
2006-06-20,0.0,1.22062297,19.497901499999998,0.0,46.398823240000006,35.27709087,83.94932546000001,11.46160869,0.0,0.0
2006-06-21,0.0,1.2184757899999998,19.463603449999997,0.0,46.65707272,35.3741333,84.41657588000001,11.48157667,0.0,0.0
2006-06-22,0.0,1.1962542600000001,19.108643249999997,0.0,46.22665692,34.92584121,83.63782518000001,11.321833020000001,0.0,0.0
2006-06-23,0.0,1.1715178,18.71351175,0.0,46.915322200000006,34.97347545,84.88382630000001,11.2818972,0.0,0.0
2006-06-24,0.0,1.21232845,19.3654079,0.0,46.74315588,35.34615347,84.57232602,11.46160873,0.0,0.0
2006-06-25,0.0,1.2122549,19.364233249999998,0.0,46.915322200000006,35.42593025,84.88382630000001,11.4815767,0.0,0.0
2006-06-26,0.0,1.14114885,18.22840725,0.0,46.4849064,34.434692399999996,84.1050756,11.082217649999999,0.0,0.0
2006-06-27,0.0,1.12929547,18.039064049999997,0.0,45.6240748,33.90007206,82.5475742,10.92247395,0.0,0.0
2006-06-28,0.0,1.1067797400000001,17.67940525,0.0,45.882324280000006,33.770887089999995,83.01482462,10.84260218,0.0,0.0
2006-06-29,0.0,1.0600424,16.932837499999998,0.0,45.6240748,33.1308989,82.5475742,10.5830188,0.0,0.0
2006-06-30,0.0,1.06604264,17.02868375,0.0,45.882324280000006,33.31843229,83.01482462,10.64292268,0.0,0.0
2006-07-01,0.0,1.0700428,17.09258125,0.0,46.0544906,33.44345455,83.3263249,10.6828586,0.0,0.0
2006-07-02,0.0,1.0600424,16.932837499999998,0.0,45.6240748,33.1308989,82.5475742,10.5830188,0.0,0.0
2006-07-03,0.0,1.07604304,17.1884275,0.0,46.312740080000005,33.63098794,83.79357532,10.74276248,0.0,0.0
