well_id,well_name,date,oil,gas,water
8045.004,JJ #1,1/2/2020,579.3,881,131.7
9455.001,Jessica #1,1/2/2020,38.4,228,4.7
3850.015,Joe #1,1/2/2020,0,0,0
9455.014,Joseph #1,1/2/2020,8.4,0,11.7
5825.002,Jred #1,1/2/2020,11.4,0,0
3855.016,Kay #1,1/2/2020,173.7,0,0
9455.002,Kiley #1,1/2/2020,106.9,310,58.2
3855.003,Kirby #1,1/2/2020,5,0,3.3
3855.015,Kleimann #1,1/2/2020,80.2,615,141.5
3855.022,Kleimann #3,1/2/2020,0,0,8.4
3855.022,LT #1,1/2/2020,6.7,0,6.7
3855.017,La Rosita #1 ,1/2/2020,0,0,0
9455.012,Lackey Five #1,1/2/2020,183.7,0,1.7
7450.006,Lander #1,1/2/2020,95.4,310,62.9
3850.011,Leary Trust #1,1/2/2020,8.4,0,0
4025.002,Marguerite #1,1/2/2020,8.4,0,3.3
4025.002,Marpick #1,1/2/2020,1.7,0,6.7
3855.024,McLean #1,1/2/2020,9.1,0,3.3
9750.001,Molak #1,1/2/2020,0,0,0
3925.001,Montemayor #1,1/2/2020,0,0,0
8350.009,Moreland #1,1/2/2020,6.8,0,0
3855.001,PC #1,1/2/2020,3.3,13,10
3855.006,Palm #1,1/2/2020,161.4,1019,163.4
3855.011,Parkway #1,1/2/2020,220.4,713,0
3855.009,Pecan Grove #1,1/2/2020,18.4,50,33.6
4035.003,Pfeiffer #1,1/2/2020,0,0,0
9450.002,Pickens #1,1/2/2020,0,10,0
9455.013,Pickens Weaver #1,1/2/2020,5,22,1.5
9450.008,Pickwill #1,1/2/2020,0,0,0
3855.004,Preston #1,1/2/2020,8.4,343,60.1
7125.002,Rhodes #1,1/2/2020,5,0,6.7
4035.005,Richard #1,1/2/2020,38.4,126,10.5
8650.008,Richardson #1,1/2/2020,0,14,0
9450.011,Ronald #1,1/2/2020,11.4,0,25
9555.004,Russell #1,1/2/2020,0,41,0
8650.007,Ruth #1,1/2/2020,0,0,0
9455.004,Ruthpick #1,1/2/2020,8.4,34,0
1825.002,Solansky #1,1/2/2020,6.7,0,0
8650.004,Sugarland #1,1/2/2020,0,0,0
8350.006,Thalmann #1,1/2/2020,0,0,0
3850.003,Thompson #1,1/2/2020,2.3,177,0
3850.005,Thompson #2,1/2/2020,6.7,64,16.7
3850.012,Tlapek #1,1/2/2020,0,0,8.4
3850.006,Triple J #2,1/2/2020,18.2,0,0
8650.006,Trotter #1,1/2/2020,38.4,0,0
3855.01,Vermillion #1,1/2/2020,1.7,71,20
8650.005,Verna #1,1/2/2020,0,0,0
3855.008,White Marlin #1,1/2/2020,0,0,0
3855.013,Whittington #1,1/2/2020,23.4,0,0
4035.007,Aaron #1,1/3/2020,110.2,0,73.2
4035.004,Aniken #1,1/3/2020,0,0,0
3855.014,Anna Louisa #1,1/3/2020,0,0,288.9
9450.003,Annpick #1,1/3/2020,16.7,13,0
6725.001,Barrier #1,1/3/2020,0,0,0
4035.006,Beeler Ranch #1,1/3/2020,35.1,105,0
9750.002,Bermuda #1,1/3/2020,0,0,0
9555.005,Big Sonny #1,1/3/2020,0,0,0
9455.008,Blackmon #1,1/3/2020,51.8,140,28.4
9555.001,Blas Reyes #1,1/3/2020,3.3,211,0
7450.004,Bond #1,1/3/2020,0,0,0
9125.001,CT #1,1/3/2020,338.9,1049,0
3850.001,Cannan #1,1/3/2020,20.1,102,0
9455.003,Carolpick #1,1/3/2020,0,115,3.3
3855.012,Carolyn #1,1/3/2020,46.8,0,6.7
3855.002,Cenizo #1,1/3/2020,73.5,0,0
9455.011,Chad #1,1/3/2020,0,19,0
6725.002,Charles B #1,1/3/2020,41.7,0,20
8350.001,Circle T #1,1/3/2020,18.2,0,0
1825.005,Cross S #1,1/3/2020,4.5,0,0
9455.005,Dale #1,1/3/2020,0,0,0
3850.04,Dial #1,1/3/2020,0,0,0
9555.002,Dillard #1,1/3/2020,0,24,0
3850.026,Dunkle #2,1/3/2020,31.7,0,0
8650.009,Dunlap #1,1/3/2020,18.4,49,46.5
9450.001,Dyess #1,1/3/2020,0,0,0
9455.007,Eileen #1,1/3/2020,53.4,233,71.6
8350.01,Evergreen #1,1/3/2020,27.2,0,0
9450.006,Flower #1,1/3/2020,33.4,73,21.7
9455.009,Gail #1,1/3/2020,50.1,199,99.9
8350.003,Gil #1,1/3/2020,18.2,126,5
1825.006,Grissom #1,1/3/2020,0,0,0
3850.016,Huber #1,1/3/2020,0,0,0
8045.005,J Beeler #1,1/3/2020,323.6,491,280
8045.004,JJ #1,1/3/2020,378.7,522,126.7
9455.001,Jessica #1,1/3/2020,28.4,231,39.8
3850.015,Joe #1,1/3/2020,0,0,0
9455.014,Joseph #1,1/3/2020,6.7,0,15
5825.002,Jred #1,1/3/2020,9.1,0,0
3855.016,Kay #1,1/3/2020,211.5,0,0
9455.002,Kiley #1,1/3/2020,100.6,362,55.1
3855.003,Kirby #1,1/3/2020,5,161,0
3855.015,Kleimann #1,1/3/2020,194,622,123.3
3855.022,Kleimann #3,1/3/2020,0,0,1.7
3855.022,LT #1,1/3/2020,5,0,0
3855.017,La Rosita #1 ,1/3/2020,0,36,0
9455.012,Lackey Five #1,1/3/2020,101.4,0,1.7
7450.006,Lander #1,1/3/2020,28.4,605,93.5
3850.011,Leary Trust #1,1/3/2020,6.7,0,0
4025.002,Marguerite #1,1/3/2020,13.4,0,3.3
4025.002,Marpick #1,1/3/2020,3.3,2,6.7
3855.024,McLean #1,1/3/2020,6.8,0,0
9750.001,Molak #1,1/3/2020,0,0,0
3925.001,Montemayor #1,1/3/2020,0,0,0
8350.009,Moreland #1,1/3/2020,13.6,0,1.7
3855.001,PC #1,1/3/2020,10,91,31.7
3855.006,Palm #1,1/3/2020,163.3,1019,189.9
3855.011,Parkway #1,1/3/2020,643.9,836,8.4
3855.009,Pecan Grove #1,1/3/2020,1.7,273,45.2
4035.003,Pfeiffer #1,1/3/2020,8.4,0,1.2
9450.002,Pickens #1,1/3/2020,5,10,0
9455.013,Pickens Weaver #1,1/3/2020,0,0,0
9450.008,Pickwill #1,1/3/2020,28.4,78,14
3855.004,Preston #1,1/3/2020,8.4,346,26.7
7125.002,Rhodes #1,1/3/2020,3.3,0,3.3
4035.005,Richard #1,1/3/2020,36.7,136,12.9
8650.008,Richardson #1,1/3/2020,0,5,0
9450.011,Ronald #1,1/3/2020,0,0,0
9555.004,Russell #1,1/3/2020,0,48,0
8650.007,Ruth #1,1/3/2020,2.3,1,0
9455.004,Ruthpick #1,1/3/2020,31.7,38,1.2
1825.002,Solansky #1,1/3/2020,5,0,3.3
8650.004,Sugarland #1,1/3/2020,0,0,0
8350.006,Thalmann #1,1/3/2020,0,0,0
3850.003,Thompson #1,1/3/2020,6.8,132,0
3850.005,Thompson #2,1/3/2020,3.3,67,18.4
3850.012,Tlapek #1,1/3/2020,1.7,0,3.3
3850.006,Triple J #2,1/3/2020,20.4,0,0
8650.006,Trotter #1,1/3/2020,6.7,0,18.4
3855.01,Vermillion #1,1/3/2020,1.7,86,0
8650.005,Verna #1,1/3/2020,0,0,0
3855.008,White Marlin #1,1/3/2020,0,0,0
3855.013,Whittington #1,1/3/2020,11.7,0,0
4035.007,Aaron #1,1/4/2020,94.8,9,0
4035.004,Aniken #1,1/4/2020,0,0,0
3855.014,Anna Louisa #1,1/4/2020,0,0,29.3
9450.003,Annpick #1,1/4/2020,18.4,13,0
6725.001,Barrier #1,1/4/2020,0,1,0
4035.006,Beeler Ranch #1,1/4/2020,36.7,100,116.4
9750.002,Bermuda #1,1/4/2020,0,0,0
9555.005,Big Sonny #1,1/4/2020,0,0,0
9455.008,Blackmon #1,1/4/2020,40.1,146,41.5
9555.001,Blas Reyes #1,1/4/2020,3.3,277,0
7450.004,Bond #1,1/4/2020,0,0,0
9125.001,CT #1,1/4/2020,322.3,1037,10
3850.001,Cannan #1,1/4/2020,22.7,108,0
9455.003,Carolpick #1,1/4/2020,15,63,0
3855.012,Carolyn #1,1/4/2020,36.7,7,13.4
3855.002,Cenizo #1,1/4/2020,15,0,0
9455.011,Chad #1,1/4/2020,3.3,23,0
6725.002,Charles B #1,1/4/2020,33.4,0,48.2
8350.001,Circle T #1,1/4/2020,22.7,0,0
1825.005,Cross S #1,1/4/2020,2.3,0,0
9455.005,Dale #1,1/4/2020,0,1,0
3850.04,Dial #1,1/4/2020,0,0,0
9555.002,Dillard #1,1/4/2020,0,14,0
3850.026,Dunkle #2,1/4/2020,40.1,0,0
8650.009,Dunlap #1,1/4/2020,20,48,15
9450.001,Dyess #1,1/4/2020,0,0,0
9455.007,Eileen #1,1/4/2020,66.4,243,83.5
8350.01,Evergreen #1,1/4/2020,11.4,0,0
9450.006,Flower #1,1/4/2020,36.7,68,1.4
9455.009,Gail #1,1/4/2020,20,40,44.8
8350.003,Gil #1,1/4/2020,4.5,126,5
1825.006,Grissom #1,1/4/2020,0,0,0
3850.016,Huber #1,1/4/2020,0,0,0
8045.005,J Beeler #1,1/4/2020,251,564,240
8045.004,JJ #1,1/4/2020,412.4,873,38.2
9455.001,Jessica #1,1/4/2020,35.1,231,55.1
3850.015,Joe #1,1/4/2020,0,0,0
9455.014,Joseph #1,1/4/2020,0.8,0,13.4
5825.002,Jred #1,1/4/2020,9.1,0,0
3855.016,Kay #1,1/4/2020,160.3,0,0
9455.002,Kiley #1,1/4/2020,110.2,316,49.9
3855.003,Kirby #1,1/4/2020,3.3,182,10
3855.015,Kleimann #1,1/4/2020,229.9,619,116.9
3855.022,Kleimann #3,1/4/2020,0,0,0
3855.022,LT #1,1/4/2020,5,0,1.7
3855.017,La Rosita #1 ,1/4/2020,0,35,0
9455.012,Lackey Five #1,1/4/2020,257.6,0,3.3
7450.006,Lander #1,1/4/2020,96.4,156,29.8
3850.011,Leary Trust #1,1/4/2020,13.4,0,0
4025.002,Marguerite #1,1/4/2020,1.7,0,10
4025.002,Marpick #1,1/4/2020,11.7,0,18.4
3855.024,McLean #1,1/4/2020,10.4,0,0
9750.001,Molak #1,1/4/2020,0,0,0
3925.001,Montemayor #1,1/4/2020,0,0,0
8350.009,Moreland #1,1/4/2020,0,0,3.3
3855.001,PC #1,1/4/2020,16.7,92,15
3855.006,Palm #1,1/4/2020,185,0,210.2
3855.011,Parkway #1,1/4/2020,837.3,858,11.7
