,0
188,MOLAK #1
189,MONTEMAYOR #1
190,MOORE #12U CL
191,MOORE #5 CL
353,MOORE #6 CL
354,MOORE #7 CL
355,MOORE #8 CL
356,MOORE #9 CL
357,MOORE JM #134
358,MOORE JM #174
359,MOORE JM #178
360,MOORE JM #192
192,MOORE JM #206
361,MOORE JM #207
362,MOORE JM #209
363,MOORE JM #213
364,MOORE JM #214
365,MOORE JM #218
366,MOORE JM #219
367,MOORE JM #225
368,MOORE LEASE - CARTER LANGHAM
391,MOORE LEASE PRIME
421,"MOORE, C.L. - 14575 AND 15636"
422,"MOORE, J.M. - 16959"
423,"MOORE, J.M. ETAL 07404 20731 20341 69676"
193,MORELAND #1
194,MORRIS 1H
195,MOSLEY #1
196,MT #1
197,MUELLER #1
198,MULESHOE RANCH 1
199,MURPHY SMITH #1
200,MYRTLE #1
201,NATHANIEL 29 STATE #1
202,NEVILL #1
369,NICHOLS #1
370,NICHOLS #2
371,NICHOLS #3
372,NORTH TWINBERRY 5
203,OBRIEN 1H
204,OLTMANN #1H
392,OLTMANN 2H
205,ORTIZ #1
206,OWEN #1H
207,OZELLE DAVIS UNIT #1 H
208,PADDY 13 STATE #1
209,PADDY 15 ST #1
210,PADDY 15 STATE #2
211,PADDY 15 STATE #3
212,PADDY 18 STATE #1
213,PADDY 18 STATE #2
214,PADDY 18 STATE #3
215,PADDY 19 ST #1
216,PADDY 19 STATE #2
217,PADDY 19 STATE #3
218,PADDY 19 STATE #4
219,PADDY 19 STATE #5
220,PADDY 20 ST #1
221,PADDY 23 STATE #1
222,PALM #1
223,PARKWAY #1
224,PC #1
225,PECAN GROVE #1
226,PETERS #5
227,PETERS #6
228,PETERS #7
229,PFEIFFER #1 RE
230,PICKENS #1
231,PICKENS-WEAVER #1
232,PICKWILL #1
233,PIERCE RANCH #4
234,POST #2
235,POST OAK #1
393,POST OAK #2
236,PRATKA #1
237,PRESTON #1
238,PYOTE GAS UNIT NO. 11 2
239,RA #1
373,RA#1
240,RAE #3H
241,RAE #4H
374,RAFTER C #1
242,RAIDER 9 STATE #1
243,RAIDER 9 STATE #3
244,RANGEL UNIT A 1H
245,RANGER 1H
246,RB CLARY #1
375,RBCLARY #1
424,RBR #1
247,REMINGTON 1H
248,RHODES #1
249,RICHARD #1
250,RICHARDSON #1
425,RIDGEBACK #1H
251,RIDGEBACK 1H
252,RODGERS UNIT #1H
253,RODGERS UNIT #3H
254,RONALD #1
255,RUEN #1
376,RUEN #2
377,RUEN #3X
256,RUSSELL #1
257,RUTH #1
258,RUTHPICK #1
259,SANDIFER #1
260,SANFORD UNIT 1H
261,SEAWASP 2H
378,SHANNON CF #1
262,SLAUGHTER B #1
263,SOELL #1
264,SOLANSKY #1
265,SPILLER T BAR X #1
266,STANGE #1-D
394,STANGE #1-F
395,STILLWAGON #1H
396,STILLWAGON #2H
397,STILLWAGON #3H
267,STILLWAGON 4H
268,STINGRAY #2H
269,SUGARLAND #1
270,SUTTON #1
379,SUTTON #2
380,SUTTON #3
271,TEAGUE UT B ZAV 1H
272,TECH 16 STATE #1
381,TERRELL #1
273,THALMANN #1
274,THOMAS #1
398,THOMAS 1H (MD)
275,THOMAS UNIT 1H
276,THOMPSON #1
277,THOMPSON #2
278,THUSS #1
279,TIMOTHY #1
280,TLAPEK #1
281,TOMAHAWK STATE 19 #1
286,TORTUGA
282,TORTUGA A UNIT 4R
426,TORTUGA A UNIT 4RE
283,TORTUGA B UNIT 2RE
284,TORTUGA C UNIT 5
285,TORTUGA UNIT 1RE
287,TRIPLE A FEDERAL
288,TRIPLE J #2
289,TROTTER #1
290,TUCKER UNIT #1H
291,VERMILLION #1
292,VERNA #1
293,VRE MINERALS
294,WARREN #1-H
295,WATSON-BUCK #1
296,WAYNE #1
297,WEBB #1
427,WENDEL #1
298,WESTWIND UNIT 1H
299,WHEATON CATTLE CO
300,WHITE MARLIN #1
301,WHITE-SPRINGER #1
302,WHITTINGTON #1
303,WICKSON #1
304,WIESE #1-H UNIT
305,WILFRED DAINTY 2H
306,WILLIAM #1
307,WILLIE #1
308,WILSON 191 NO 1H
309,WILSON UNIT
382,WITTIG SISTERS #1
310,WOMBAT 1H
311,WOMBAT 2H
312,WOMBAT 3H
313,WOOD UNIT B 1H
406,WOODSON 1
314,WS#1
315,X AMERICAN BRECO #
